"CÓDIGO DE LA SERIE",D_1TFK09A0_BCE,D_1NBCEA72,D_1NBCEB72,D_1NBAA572,D_1NBAS372,D_1NBAC372,D_1NBAD472,D_1NBAE472,D_1NBAF472,D_1NBBDS72,D_1NBBDT72,D_1NBBDU72,D_1NBBDV72,D_1NBBDW72,D_1NBBDP72,D_1NBBDQ72,D_1NBBDR72,D_1NBBP572,D_1NBBO572
"NÚMERO SECUENCIAL",4562352,4562347,4562348,3775801,3975629,2737991,587851,608361,587853,997174,997175,997176,997177,997178,997172,997173,997179,586568,586564
"ALIAS DE LA SERIE","BE_1_15.1","BE_1_15.2","BE_1_15.3","BE_1_15.4","BE_1_15.5","BE_1_15.6","BE_1_15.7","BE_1_15.8","BE_1_15.9","BE_1_15.10","BE_1_15.11","BE_1_15.12","BE_1_15.13","BE_1_15.14","BE_1_15.15","BE_1_15.16","BE_1_15.17","BE_1_15.18","BE_1_15.19"
"DESCRIPCIÓN DE LA SERIE","Tipo de interés. UEM. De operaciones política monetaria. Subastas. Operaciones principales de financiación","Tipo de interés. UEM. De operaciones de política monetaria. Facilidades permanentes. De crédito","Tipo de interés. UEM. De operaciones de política monetaria. Facilidades permanentes. De depósito","Tipo de interés. UEM. Mercado monetario. ESTR","Tipos de interés. UEM. Mercados monetarios. Depósitos. A 1 semana. Euríbor. Tipo de referencia oficial del mercado hipotecario","Tipo de interés. UEM. Mercado monetario. Euríbor. A 1 mes","Tipo de interés. UEM. Mercado monetario. Euríbor. A 3 meses","Tipo de interés. UEM. Mercado monetario. Euríbor. A 6 meses","Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos a la vista de hogares","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos hasta 1 año de hogares","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos a más de 2 años de hogares","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos a la vista de sociedades no financieras","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Depósitos hasta 1 año de sociedades no financieras","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Créditos a hogares para el consumo","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Préstamos a hogares para adquisición de viviendas","Economía internacional. UEM. Tipo de interés. Nuevas operaciones. IFM residentes en la UEM. Préstamos a 1 año a sociedades no financieras","Economía internacional. UEM. Rendimiento de la Deuda Pública. A 3 años","Economía internacional. UEM. Rendimiento de la Deuda Pública. A a 10 años"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ENE 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.39
"FEB 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.86
"MAR 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.98
"ABR 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.84
"MAY 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",10.77
